53c30777e96e6880a466eb8282d2b1a9ac9abf93,ACCUMULO-4775,[ACCUMULO-4775] Skip negate column entirely in ColumnAgeOffFilter (#349)
d99592c150794e609b20696df5a26f3c88086fbc,ACCUMULO-4780,ACCUMULO-4780 Add overflow check to seq num in CommitSession (#360)
8c27bdf0e0168f854e9bb6effad25e6b6b0cb853,ACCUMULO-4779,ACCUMULO-4779 fixed classpath context config performance issue (#358)
03a610e489f266ccc44d182321fdc1731ac4d6f3,ACCUMULO-4781,ACCUMULO-4781 fixed logging performance issue (#359)
721d13f5ef1917fd96937e973fda196019f4f582,ACCUMULO-3902,ACCUMULO-3902 Remove redundant close call
ed981b208ac70d9e819b0e8e0b229d8189c859e0,ACCUMULO-3902,ACCUMULO-3902 Ensure [Batch]Scanners are closed in ITs (#341)
bad30a1dd059006c607948c35db6feedd5ba7248,ACCUMULO-4776,ACCUMULO-4776 Fix advertised host in monitor
5203d3bdb5c39a782651399e00347f18b85e24c3,ACCUMULO-4770,ACCUMULO-4770 Show all ZooKeeper nodes on monitor
208cfeaf57e910683cd0215ea2f5487a98dab22b,ACCUMULO-4760,ACCUMULO-4760 Fix NPE in Monitor replication rest
21d2ea28494005fcd6860244b9d7d86d4f29993b,ACCUMULO-1972,ACCUMULO-1972 fix Range constructor
3161b98f05615844caf6980c8b5922375e92bd32,ACCUMULO-4751,ACCUMULO-4751 Set createdTime for status records
0a7c465d9eace6b8c9dccdfd37a92a0e1bcfbd52,ACCUMULO-4751,ACCUMULO-4751 Set createdTime for status records
15b00dff60782579e5a7febc90cbabb80e3b7b9a,ACCUMULO-4774,ACCUMULO-4774 Use lambda for ConditionalWriter's ThreadFactory
52118ef518fc7a98b41519e292840d8388941bf8,ACCUMULO-4774,ACCUMULO-4774 Made conditional writer thread into daemon
37c08d8e674a73174656f87e82d1b590ff771bcf,ACCUMULO-4766,ACCUMULO-4766 Fix Monitor table stats
44594962e9f14f98507a540d7be650425ca2beac,ACCUMULO-4756,ACCUMULO-4756 Small regex fixes for validating names
7a5500010efdeb2573b3c1d742caae8327349b55,ACCUMULO-4756,ACCUMULO-4756 Fix path param in TablesResource
815c2692a048be0dcbc67b8d05a4e4bc36312f57,ACCUMULO-4758,ACCUMULO-4758 throw correct exception when meta block absent (#334)
2f9c72ceb40e9f1df5fc98a01873848a34aa2066,ACCUMULO-4756,ACCUMULO-4756 Allow default tables validate REST (#331)
1a6e75ce5700b0e98a44e3ad19b5a3f1dc002bdf,ACCUMULO-4754,ACCUMULO-4754 Fix links to properties in 2.0 docs (#330)
49a8c62c9e09bd04ad60ef46e7e19ca85f94c9dd,ACCUMULO-4743,ACCUMULO-4743 Fix formatting
e189bfd30ed94831a9698aa4c0dbeda95f178fde,ACCUMULO-4745,ACCUMULO-4745 Fix broken links in monitor from Table.ID change (#326)
61242a780a7512339616fa165e5d7a61564479bf,ACCUMULO-4677,ACCUMULO-4677 Sanitize PathParam values in Monitor (#289)
f565b3aa48369c9b0df08f2786b433c30316b1a4,ACCUMULO-4743,ACCUMULO-4743 Replaced general custom with tserver prefix for cache config (#328)
c28e11c1079d2e1c6d68078b3328016569138fed,ACCUMULO-4669,ACCUMULO-4669 Use windowed statistics in RFile
ed313f7703b49343825be26c31f6eed81bc37d83,ACCUMULO-4744,ACCUMULO-4744 Fixed RFile API scanner bug (#324)
238e47116b16d7ea391860644a43f0dd44e75413,ACCUMULO-4546,ACCUMULO-4546 Fix StringUtils import
e738351fcdf2359997814c2cf105875702799265,ACCUMULO-4546,ACCUMULO-4546 Create default log message for table error (#327)
e875f01ed519100225bdf3a1550c40caccd8521f,ACCUMULO-4708,ACCUMULO-4708 Limit RFile block size to 2GB
f2c99b1e25e54307e5ba9156bf48cb5cacba9b8f,ACCUMULO-4721,ACCUMULO-4721 Document rfile-info in the user manual (#310)
c71b69892b25c770310d0349aa334ddc62890161,ACCUMULO-4702,ACCUMULO-4702 Fix unused import from previous merge
4750b880f05b0e584db108598fc9ace42e40dafa,ACCUMULO-4170,ACCUMULO-4170 Clarify ClientConfiguration javadocs
